Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'21069020,"Food preparations, n.e.s.: of a kind used in non alcolic drinks indust.or preparing or flav.food",1118,2302,13634,19005,8111,16024,15539,29841,23849,20528
'84212100,Machinery and apparatus for filtering or purifying water,3055,15784,11408,32726,39495,24717,14046,21808,17315,20418
'85021200,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel ...",9168,10791,10920,15396,17394,18559,16561,18427,12472,20256
'84292000,Self-propelled graders and levellers,19522,70577,44266,13675,7153,11379,15340,10053,10184,20157
'84714920,"Data-processing machines, automatic, presented in the form of systems ""comprising at least ...",0,0,0,0,0,0,0,7641,39441,19727
'15159010,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",1459,25,8,2,4036,643,30,340,1893,19588
'39012000,"Polyethylene with a specific gravity of >= 0,94, in primary forms",45221,43903,35849,42994,41709,48422,56057,38917,,19486
'85371090,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",0,0,0,0,0,0,0,0,,19452
'39023000,"Propylene copolymers, in primary forms",2254,2103,1703,2889,8126,8304,11006,22553,20537,19406
'54076990,Woven fabrics of yarn containing >= 85% by weight of mixtures of textured and non-textured ...,0,0,0,0,0,0,0,0,,19167
'87033313,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,3751,12489,19152
'84138100,"Pumps for liquids, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",0,0,0,0,0,1,91,16698,26255,19124
'84295100,Self-propelled front-end shovel loaders,29229,38819,22197,31759,17882,20466,17337,14034,18872,18930
'84522100,"Automatic sewing machines, industrial type",3119,1202,2715,2176,6340,10757,11692,20295,7853,18910
'84818000,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing valves, ...",14419,16145,26104,25279,47335,65091,22287,22866,22748,18798
'84223000,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",2457,7910,41037,17126,16141,16322,60758,37829,30986,18719
'85177000,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",83328,37672,328381,308590,73344,61351,42754,32604,29608,18680
'27101940,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",12227,10044,12306,13838,10368,17249,11899,21188,18026,18452
'90181900,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",8154,25941,25545,18181,15842,7425,8712,6709,8894,18375
'85444900,"Electric conductors, for a voltage <= 1.000 v, insulated, not fitted with connectors, n.e.s.",15726,5941,18887,12884,32528,21983,22966,15477,20090,18349
'76149000,"Stranded wires, cables, ropes and similar articles, of aluminium (other than with steel core ...",32373,477,8320,32730,62874,26160,17097,9425,42185,18304
'84742000,Crushing or grinding machines for solid mineral substances,11591,8780,23689,37918,22510,28890,25136,14304,15102,18207
'15121990,"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ...",0,1,27,26,20,99,194,512,2042,17807
'11071000,Malt (excluding roasted),19049,19608,20053,18271,17675,23042,36728,28752,36003,17732
'72082600,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",433,1096,846,1020,1299,2537,4942,13049,9630,17506
'85030090,"Parts suitable for use solely or principally with electric motors and generators, electric ...",111684,33553,58613,48355,18897,11382,3222,7768,8676,17478
'87032223,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,3951,13755,17320
'84522900,"Sewing machines, industrial type (excluding automatic units)",3270,5831,6171,14998,14364,24163,24846,19023,13296,17243
'87013013,Track-laying tractors (excluding pedestrian-controlled): completely built up (cbu),0,0,0,0,0,0,0,3199,17377,17209
'15119020,"Palm oil and its fractions, whether or not refined (excluding chemically modified and crude): ...",0,0,0,0,0,0,0,0,14731,17180
'84713020,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",0,0,0,0,0,0,0,8114,23642,17167
'85021100,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel ...",6482,11467,15252,20502,22968,15715,13297,18653,11725,16919
'54024700,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",10018,10403,12024,10647,8826,6164,5853,9206,11400,16562
'85021300,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel ...",7693,8223,10243,9536,25160,29662,24687,18312,23839,16507
'73089000,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",0,0,0,0,0,0,0,0,,16361
'87019312,"Tractors, of an engine power > 37 kw but <= 75 kw (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,0,0,0,4084,16289
'72071100,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",690,2528,1362,8312,1453,9177,20509,30012,21465,16271
