Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'44121400,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",6,0,0,0,0,0,0,0,,
'44121900,Plywood consisting solely of sheets of wood <= 6 mm thick (excluding plywood of subheading ...,0,0,0,0,0,0,364,53,,
'44122200,Veneered panels and similar laminated wood with at least one outer ply of tropical wood specified ...,0,0,0,0,0,0,35,3,,
'44122300,Veneered panels and similar laminated wood with at least one outer ply of non-coniferous wood ...,0,0,0,0,0,0,0,25,,
'44122900,Veneered panels and similar laminated wood with at least one outer ply of non-coniferous wood ...,0,0,0,0,0,0,94,38,,
'44111900,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",0,0,0,0,0,0,95,573,,
'44112100,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",0,0,0,0,0,0,0,4,,
'44112900,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",0,0,0,0,0,0,262,0,,
'44113100,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",0,0,0,0,0,0,37,4,,
'44113900,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",0,0,0,0,0,0,0,0,,
'44119100,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",0,0,0,0,0,0,0,28,,
'44092000,"Wood, incl. strips and friezes for parquet flooring, not assembled, continuously shaped ""tongued, ...",0,0,0,0,0,0,3,4,,
'44081000,"Sheets for veneering, incl. those obtained by slicing laminated wood, for coniferous plywood ...",173,0,7,75,78,19,2,89,10,
'44083100,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",9,0,0,0,0,2,1,0,,
'44083900,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",0,11,32,23,418,3,64,15,62,
'44111100,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",0,0,0,0,0,0,0,56,,
'44102100,"Oriented strand board and waferboard, of wood, unworked or not further worked than sanded",0,0,0,0,0,0,0,0,,
'44102900,"Oriented strand board and waferboard, of wood (excluding unworked or not further worked than ...",0,0,0,0,0,0,0,0,,
'44103100,"Particle board and similar board, of wood, whether or not agglomerated with resins or other ...",0,0,0,0,0,0,3,0,,
'44103200,"Particle board and similar board, of wood, whether or not agglomerated with resins or other ...",0,0,0,0,0,0,10,1,,
'44103300,"Particle board and similar board, of wood, whether or not agglomerated with resins or other ...",0,0,0,0,0,0,2,17,,
'44103900,"Particle board and similar board, of wood, whether or not agglomerated with resins or other ...",0,0,0,0,0,0,25,118,,
'44170010,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe ...",5,2,5,19,2,0,2,1,3,
'44129200,Veneered panels and similar laminated wood with at least one ply of a tropical wood specified ...,0,0,0,0,0,0,2,23,,
'44129300,Veneered panels and similar laminated wood with at least one layer of particle board (excluding ...,0,0,0,0,0,0,38,52,,
'44189000,"Builders' joinery and carpentry, of wood, incl. cellular wood panels (excluding windows, french ...",767,979,946,1263,1322,1080,917,440,,
'44189100,"Builders' joinery and carpentry, of bamboo (excl. windows, french windows and their frames, ...",0,0,0,0,0,0,0,5,,
'44190000,"Tableware and kitchenware, of wood (excl. interior fittings, ornaments, cooperage products, ...",0,0,0,0,0,0,0,0,,
'44190010,"Tableware and kitchenware, of wood (excluding interior fittings, ornaments, cooperage products, ...",3,2,0,15,2,9,23,7,,
'44190090,"Tableware and kitchenware, of wood (excluding interior fittings, ornaments, cooperage products, ...",51,24,90,80,101,75,127,43,,
'44186000,"Posts and beams, of wood",314,174,259,832,465,780,255,124,163,
'44187100,"Flooring panels for mosaic floors, assembled, of wood",35,20,159,315,231,77,82,16,,
'44187200,"Flooring panels, multilayer, assembled, of wood (excluding for mosaic floors)",38,28,71,95,27,71,27,18,,
'44183000,"Parquet panels of wood (excluding blocks, strips and friezes for parquet flooring, not assembled)",0,0,0,0,0,2,237,156,,
'48023000,"Carbonising base paper, uncoated, in rolls or in square or rectangular sheets, of any size",0,0,0,0,0,0,1,0,,
'48025100,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,0,0,0,0,0,,
'48025200,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,0,0,0,0,0,,
'48025320,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,0,0,0,0,0,,
'48025390,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,0,0,0,0,0,,
'48030000,"Toilet or facial tissue stock, towel or napkin stock and similar paper for household or sanitary ...",0,0,0,0,0,0,397,2547,3163,
'48026090,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,0,0,0,0,0,0,0,,
'48045110,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or ...",0,0,0,0,0,3,0,0,,
'48045200,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",33,0,0,0,0,0,0,0,1,
'48051000,"Semi-chemical fluting paper ""corrugated medium"", uncoated, in rolls of a width > 15 cm + detailed ...",0,0,0,0,0,0,0,0,,
'48044200,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",135,1,0,0,41,17,0,13,54,
'48044900,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",0,0,44,40,138,177,1,0,3,
'48063000,"Tracing papers, in rolls of a width > 36 cm or in square or rectangular sheets with one side ...",78,9,97,87,76,81,23,31,9,
'48071010,"Paper and paperboard, laminated internally with bitumen, tar or asphalt, not surface-coated ...",0,0,0,0,0,0,0,0,,
'48071090,"Paper and paperboard, laminated internally with bitumen, tar or asphalt, not surface-coated ...",0,0,0,0,0,0,0,0,,
'48079010,"Composite paper and paperboard, neither surface-coated nor impregnated, whether or not internally ...",0,0,0,0,0,0,0,0,,
'48079090,"Composite paper and paperboard, neither surface-coated nor impregnated, whether or not internally ...",0,0,0,0,0,0,0,0,,
'48089010,"Paper and paperboard, creped, crinkled, embossed or perforated, in rolls of a width > 36 cm ...",0,0,0,0,18,26,3,5,1,
'48082000,"Sack kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls of a ...",0,0,0,0,0,0,0,2,,
'48083000,"Kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls of a width ...",17,12,0,0,0,0,0,0,,
'48101100,"Paper and paperboard for writing, printing or other graphic purposes, not containing mechanically ...",0,0,0,0,0,0,0,0,,
'48101200,"Paper and paperboard for writing, printing or other graphic purposes, not containing mechanically ...",0,0,0,0,0,0,0,0,,
'48055000,"Felt paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets with ...",104,0,2,11,0,69,29,50,53,
'48056000,"Paper and paperboard, uncoated, in rolls of a width > 15 cm or in square or rectangular sheets ...",0,0,0,0,0,0,0,0,,
'48058010,"Paper and paperboard, uncoated, in rolls of a width > 15 cm or in square or rectangular sheets ...",0,0,0,0,0,0,0,0,,
'48058090,"Paper and paperboard, uncoated, in rolls of a width > 15 cm or in square or rectangular sheets ...",0,0,0,0,0,0,0,0,,
'48061000,"Vegetable parchment, in rolls of a width > 36 cm or in square or rectangular sheets with one ...",0,184,0,0,0,0,0,0,,
'48052990,"Multi-ply paper or paperboard, uncoated, in rolls of a width > 15 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,,
'48051200,"Straw fluting paper, in rolls of a width > 36 cm, weighing >= 130 g/m²",0,0,0,93,6,0,0,0,1,
'48052110,"Multi-ply paper and paperboard, uncoated, in rolls of a width > 15 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,,
'48052190,"Multi-ply paper and paperboard, uncoated, in rolls of a width > 15 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,,
'48052290,"Multi-ply paper and paperboard, uncoated, in rolls of a width > 15 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,,
'48163000,"Duplicator stencils of paper, whether or not in boxes",0,0,0,0,0,0,0,0,,
'48184000,"Sanitary towels and tampons, napkins and napkin for babies and similar sanitary articles, of ...",0,0,0,0,0,0,0,0,,
'48184010,"Sanitary towels and tampons, napkins and napkin for babies and similar sanitary articles, of ...",89,229,49,0,0,0,5,22,,
'48184020,"Sanitary towels and tampons, napkins and napkin for babies and similar sanitary articles, of ...",485,130,38,0,0,0,0,2,,
'48184030,"Sanitary towels and tampons, napkins and napkin for babies and similar sanitary articles, of ...",6328,9383,7717,10839,8082,3442,3131,558,,
'48184090,"Sanitary towels and tampons, napkins and napkin for babies and similar sanitary articles, of ...",1111,1055,178,0,0,0,22,69,,
'48131000,Cigarette paper in the form of booklets or tubes,0,0,0,1,0,0,0,1,,
'48141000,'ingrain' paper,11,0,0,0,0,0,0,0,,
'48150000,"Floor coverings on a base of paper or paperboard, whether or not cut to size (excl. similar ...",0,0,0,0,0,0,0,0,,
'48161000,"Carbon or similar copying papers, in rolls of a width of <= 36 cm or in rectangular or square ...",0,0,0,0,0,0,0,176,,
'48143000,"Wallpaper and similar wall coverings of paper, consisting of paper covered, on the face side, ...",0,0,0,0,0,0,3,10,,
'48102100,"Light-weight coated paper for writing or other graphic purposes, containing > 10% mechanically ...",0,0,0,0,0,0,0,0,,
'48091000,"Carbon and similar copying papers, whether or not printed, in rolls of a width > 36 cm or in ...",0,0,0,0,0,0,0,21,,
'48103210,"Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically ...",1,0,0,0,0,0,172,93,,
'48103910,"Kraft paper and paperboard, coated on one or both sides with kaolin or other inorganic substances, ...",11,0,0,0,4,21,18,141,,
'48109110,"Multi-ply paper and paperboard, coated on one or both sides with kaolin or other inorganic ...",0,0,0,0,0,0,0,0,,
'48109190,"Multi-ply paper and paperboard, coated on one or both sides with kaolin or other inorganic ...",0,0,0,0,0,0,0,0,,
'48109210,"Multi-ply paper and paperboard, coated on one or both sides with kaolin or other inorganic ...",0,0,4,0,406,981,1,138,,
'48109220,"Multi-ply paper and paperboard, coated on one or both sides with kaolin or other inorganic ...",0,0,6,910,93,0,0,0,,
'48115110,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",0,0,29,123,5,74,0,79,2,
'48109920,"Paper and paperboard, coated on one or both sides with kaolin ""china clay"" or other inorganic ...",47,0,32,14,20,40,0,203,,
'48112100,"Self-adhesive paper and paperboard, gummed or with an adhesive layer, in rolls of a width > ...",0,0,0,0,0,0,0,0,,
'48112900,"Gummed or adhesive paper and paperboard, in rolls of a width > 15 cm or in square or rectangular ...",0,0,0,0,0,0,0,0,,
'48113110,"Paper and paperboard, coated, impregnated or covered with artificial resins or plastics, in ...",0,0,0,0,0,0,0,0,,
'48113190,"Paper and paperboard, coated, impregnated or covered with artificial resins or plastics, in ...",0,0,0,0,0,0,0,0,,
'48113910,"Paper and paperboard, coated, impregnated or covered with artificial resins or plastics, in ...",0,0,0,0,0,0,0,0,,
'48113990,"Paper and paperboard, coated, impregnated or covered with artificial resins or plastics, in ...",0,0,0,0,0,0,0,0,,
'48114000,"Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or ...",0,0,0,0,0,0,0,0,,
'69079000,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and ...",1162,2551,3272,3034,5197,11738,5811,3002,,
'69081000,"Glazed ceramic tiles, mosaic cubes and similar articles, whether or not square or rectangular, ...",4394,7375,7327,7167,13714,9886,4993,3731,,
'69089000,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the ...",12575,19333,21294,27137,32032,29693,12275,7869,,
'69071000,"Unglazed ceramic tiles, mosaic cubes and similar articles, whether or not square or rectangular, ...",475,659,1627,1292,2371,6836,1895,2916,,
'68118300,"Tubes, pipes and tube or pipe fittings of cellulose fibre-cement or the like, not containing ...",0,0,0,0,0,0,0,0,,
'68131000,"Brake linings and pads with a basis of asbestos, of other mineral substances or of cellulose, ...",0,0,0,0,0,0,20,63,,
'68139000,"Friction material and articles thereof, e.g. sheets, rolls, strips, segments, discs, washers ...",0,0,0,0,0,0,1,0,,
'68152000,Articles of peat (excluding textile products from peat fibres),0,41,0,0,0,0,0,0,,
'68159100,"Articles of stone or other mineral substances, n.e.s. containing magnesite, dolomite or chromite",0,111,285,0,18,0,0,0,,
'68111000,"Corrugated sheets of asbestos-cement, cellulose fibre-cement or the like (detailed label not ...",0,0,0,0,0,0,0,0,,
'68112000,"Sheets, panels, paving, tiles and similar articles, of asbestos-cement, cellulose fibre-cement ...",0,0,0,0,0,0,0,0,,
'68113000,"Tubes, pipes and tube or pipe fittings of asbestos-cement, cellulose fibre-cement or the like",0,0,0,0,0,0,0,0,,
'68119000,"Articles of asbestos-cement, cellulose fibre-cement or the like (excluding tubes, pipes and ...",0,0,0,0,0,0,0,0,,
'68121000,Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ...,0,0,0,0,0,0,0,0,,
'68122000,Yarn and thread of asbestos or of mixtures with a basis of asbestos or a basis of asbestos ...,0,0,0,0,0,0,0,0,,
'68123000,"Cords and string, whether or not plaited, of asbestos or of mixtures with a basis of asbestos ...",0,0,0,0,0,0,0,0,,
'68124000,Woven or knitted fabric of asbestos or of mixtures with a basis of asbestos or a basis of asbestos ...,0,0,0,0,0,0,0,0,,
'68125000,"Clothing, clothing accessories, footwear and headgear of asbestos or of mixtures with a basis ...",0,0,0,0,0,0,260,0,,
'68126000,"Paper, millboard and felt of asbestos or of mixtures with a basis of asbestos or a basis of ...",0,0,0,0,0,0,0,0,,
'68127000,"Compressed asbestos fibre jointing, in sheets or rolls",0,0,0,0,0,0,0,0,,
'68128000,Fabricated crocidolite asbestos fibres; mixtures with a basis of crocidolite asbestos or with ...,21,2,4,3,20,0,0,0,5,
'68129000,Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ...,0,0,0,0,0,0,11,43,,
'68129100,"Clothing, clothing accessories, footwear and headgear of asbestos or of mixtures with a basis ...",193,29,78,48,38,379,39,20,3,
'68129200,"Paper, millboard and felt of asbestos or of mixtures with a basis of asbestos or a basis of ...",2,5,2,8,1,1,7,7,19,
'67010000,"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down ...",0,0,0,0,2,0,3,8,19,
'66031010,"Handles and knobs for umbrellas and sun umbrellas of heading 6601 or for walking-sticks, seat-sticks, ...",0,0,0,0,0,0,0,0,,
'66031020,"Handles and knobs for umbrellas and sun umbrellas of heading 6601 or for walking-sticks, seat-sticks, ...",0,0,0,0,0,0,0,5,,
'66031090,"Handles and knobs for umbrellas and sun umbrellas of heading 6601 or for walking-sticks, seat-sticks, ...",0,0,0,0,0,0,0,0,,
'65069200,"Headgear of furskin, whether or not lined or trimmed (excluding toy and carnival headgear)",0,0,0,0,0,0,0,55,,
'66020010,"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ...",0,2,0,3,6,0,5,0,,
'65030000,"Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading 6501, ...",0,0,0,0,0,0,0,5,,
'65051000,"Hairnets of any material, whether or not lined or trimmed",6,27,0,0,0,0,5,11,,
'65059000,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",2190,3001,649,0,0,0,169,135,,
'64069100,"Parts of footwear, of wood",0,15,0,0,0,0,0,0,,
'64069900,"Parts of footwear (excluding outer soles and heels of rubber or plastics, uppers and parts ...",302,1099,87,0,0,0,123,529,,
'64069010,"Parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, leggings ...",0,0,3,0,6,1,17,0,,
'68022200,"Calcareous stone and articles thereof, simply cut or sawn, with a flat or even surface (excluding ...",0,0,0,0,0,0,32,0,,
'64023000,"Footwear, incorporating a protective metal toecap, with outer soles and uppers of rubber or ...",0,0,0,0,0,54,108,66,,
'64033000,"Footwear with leather uppers, made on a base or platform of wood, with neither an inner sole ...",0,0,0,0,0,0,0,1,,
'64031200,"Ski-boots, cross-country ski footwear and snowboard boots, with outer soles of rubber, plastics, ...",0,0,2,3,7,98,5,10,,
'63080000,"Sets consisting of woven fabric and yarn, whether or not with accessories, for making up into ...",16,4,37,52,12,30,32,37,12,
'64019100,"Waterproof footwear covering the knee, with outer soles and uppers of rubber or of plastics, ...",0,0,0,0,0,0,0,10,,
'64021200,"Ski-boots, cross-country ski footwear and snowboard boots, with outer soles and uppers of rubber ...",29,2,1,43,94,68,5,0,1,
'63064100,Pneumatic mattresses of cotton,0,0,0,0,0,0,2,0,,
'63064900,Pneumatic mattresses of textile materials (excluding cotton),0,0,0,0,0,0,0,0,,
'63069100,"Camping goods of cotton (excluding tents, awnings and sunblinds, sails, pneumatic mattresses, ...",0,0,0,0,0,0,0,0,,
'63069900,"Camping goods of textile materials (excluding of cotton, tents, awnings and sunblinds, sails, ...",142,1523,11,0,0,0,0,1,,
'63029200,"Toilet linen and kitchen linen of flax (excluding floor-cloths, polishing-cloths, dish-cloths ...",0,0,0,0,0,0,0,1,,
'63031100,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of cotton, knitted or ...",0,0,0,0,0,0,18,13,,
'63062100,Tents of cotton (excluding fly sheets),583,38,13,14,54,12,15,7,,
'63063100,"Sails for boats, sailboards or landcraft, of synthetic fibres (detailed label not available)",0,0,0,0,0,0,0,0,,
'63063900,"Sails for boats, sailboards or landcraft, of textile materials (excluding synthetic fibres) ...",0,0,0,0,0,0,0,0,,
'63061100,"Tarpaulins, awnings and sunblinds of cotton (excluding flat covers of light fabrics made-up ...",142,51,695,372,461,653,126,192,,
'62131000,"Handkerchiefs of silk or silk waste, of which no side exceeds 60 cm (excl. knitted or crocheted) ...",0,0,0,0,0,0,0,0,,
'62132000,"Handkerchiefs of cotton, of which no side exceeds 60 cm (excluding knitted or crocheted)",0,3,7,4,0,0,3,9,1,
'62144000,"Shawls, scarves, mufflers, mantillas, veils and similar articles of artificial fibres (excluding ...",61,37,2,0,67,0,18,44,,
'63024010,"Table linen, knitted or crocheted: hand made table linen, knitted or crocheted",1,1,1,0,0,1,0,0,0,
'63025200,Table linen of flax (excluding knitted or crocheted) (detailed label not available),0,0,0,0,0,0,0,0,,
'62113100,"Men's or boys' track suits and other garments, n.e.s. of wool or fine animal hair (excluding ...",0,0,0,0,0,0,0,0,,
'62082200,"Women's or girls' nightdresses and pyjamas of man-made fibres (excluding knitted or crocheted, ...",0,6,1,81,6,0,0,0,48,
'62081100,Women's or girls' slips and petticoats of man-made fibres (excluding knitted or crocheted and ...,0,28,4,4,0,0,0,0,,
'62091000,Babies' garments and clothing accessories of wool or fine animal hair (excluding knitted or ...,0,0,0,0,0,0,7,0,,
'62079200,"Men's or boys' singlets and other vests, bathrobes, dressing gowns and similar articles of ...",0,0,0,0,0,0,1,30,,
'62064000,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",2,18,2,3,6,9,12,0,9,
'61072200,"Men's or boys' nightshirts and pyjamas of man-made fibres, knitted or crocheted (excluding ...",0,2,2,0,0,0,0,0,,
'61079200,"Men's or boys' bathrobes, dressing gowns and similar articles of man-made fibres, knitted or ...",0,0,0,0,0,0,0,0,,
'61081100,"Women's or girls' slips and petticoats of man-made fibres, knitted or crocheted (excluding ...",0,119,63,219,1,0,25,0,22,
'61101000,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of wool or fine animal hair, ...",0,0,0,0,0,0,0,0,,
'61083900,"Women's or girls' nightdresses and pyjamas of textile materials, knitted or crocheted (excluding ...",243,232,88,130,92,185,275,6,10,
'61089100,"Women's or girls' négligés, bathrobes, dressing gowns, housejackets and similar articles of ...",38,13,17,1,29,13,29,16,,
'61089200,"Women's or girls' négligés, bathrobes, dressing gowns, housejackets and similar articles of ...",0,0,0,0,0,1,0,89,6,
'61122000,"Ski-suits, knitted or crocheted",2,70,2,15,7,0,0,0,,
'61123100,"Men's or boys' swimwear of synthetic fibres, knitted or crocheted",2,1,4,1,58,0,1,0,,
'61141000,"Special garments for professional, sporting or other purposes, n.e.s., of wool or fine animal ...",0,0,0,0,0,0,0,0,,
'61111000,"Babies' garments and clothing accessories of wool or fine animal hair, knitted or crocheted ...",0,0,0,0,0,0,0,32,,
'61151100,"Panty hose and tights of synthetic fibres, knitted or crocheted, measuring per single yarn ...",0,0,0,0,0,0,0,94,,
'61151200,"Panty hose and tights of synthetic fibres, knitted or crocheted, measuring per single yarn ...",0,0,0,0,0,0,0,0,,
'61151900,"Panty hose and tights of textile materials, knitted or crocheted (excluding of synthetic fibres ...",0,0,0,0,0,0,19,63,,
'61152000,"Women's full-length or knee-length hosiery, knitted or crocheted, measuring per single yarn ...",0,0,0,0,0,0,0,0,,
'61159100,"Full-length or knee-length stockings, socks and other hosiery, incl. stockings for varicose ...",0,0,0,0,0,18,0,0,,
'61159200,"Full-length or knee-length stockings, socks and other hosiery, incl. stockings for varicose ...",0,0,0,0,0,0,86,180,,
'61159300,"Full-length or knee-length stockings, socks and other hosiery, incl. stockings for varicose ...",0,0,0,0,0,4,22,2,,
'61159400,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",24,35,103,17,0,10,0,4,,
'62042100,"Women's or girls' ensembles of wool or fine animal hair (excluding knitted or crocheted, ski ...",0,70,20,137,0,5,1,66,,
'62044100,Women's or girls' dresses of wool or fine animal hair (excluding knitted or crocheted and ...,19,0,32,72,34,237,27,0,5,
'62044400,Women's or girls' dresses of artificial fibres (excluding knitted or crocheted and petticoats),0,0,1,0,16,129,120,249,19,
'62045100,Women's or girls' skirts and divided skirts of wool or fine animal hair (excluding knitted ...,40,181,11,0,71,0,8,0,0,
'62051000,"Men's or boys' shirts of wool or fine animal hair (excluding knitted or crocheted, nightshirts, ...",0,0,0,0,0,0,3,1,,
'62021300,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",0,0,6,33,0,0,10,8,1,
'62019100,"Men's or boys' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, ...",2,12,3,16,149,86,9,0,1,
'61172000,"Ties, bow ties and cravats, knitted or crocheted",0,0,0,0,0,0,0,1,,
'62029100,"Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, ...",0,77,95,88,85,141,11,7,1,
'62032100,"Men's or boys' ensembles of wool or fine animal hair (excluding knitted or crocheted, ski ensembles ...",0,0,0,0,0,0,3,0,,
'61046100,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",7,109,6,12,63,37,1,0,33,
'61045100,"Women's or girls' skirts and divided skirts of wool or fine animal hair, knitted or crocheted ...",9,23,111,31,9,27,9,34,38,
'61045200,"Women's or girls' skirts and divided skirts of cotton, knitted or crocheted (excluding petticoats)",639,705,618,289,216,6,22,1,91,
'61045300,"Women's or girls' skirts and divided skirts of synthetic fibres, knitted or crocheted (excluding ...",134,98,28,156,53,3,0,0,,
'61043100,"Women's or girls' jackets and blazers of wool or fine animal hair, knitted or crocheted (excluding ...",8,24,29,0,60,14,32,0,0,
'61043200,"Women's or girls' jackets and blazers of cotton, knitted or crocheted (excluding wind-jackets ...",65,37,35,46,32,16,33,0,11,
'61044400,"Women's or girls' dresses of artificial fibres, knitted or crocheted (excluding petticoats)",0,0,0,1,0,0,0,0,,
'61042100,"Women's or girls' ensembles of wool or fine animal hair, knitted or crocheted (excl. ski ensembles ...",0,0,0,0,0,0,0,0,,
'61042200,"Women's or girls' ensembles of cotton, knitted or crocheted (excluding ski ensembles and swimwear)",13,39,28,4,51,0,22,58,2,
'61041100,"Women's or girls' suits of wool or fine animal hair, knitted or crocheted (excluding ski overalls ...",0,0,0,0,0,0,0,0,,
'61041200,"Women's or girls' suits of cotton, knitted or crocheted (excluding ski overalls and swimwear)",0,0,0,0,0,0,0,74,,
'60062100,"Unbleached or bleached cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding ...",0,0,138,54,48,2,9,263,0,
'60062110,"Unbleached or bleached cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding ...",0,0,0,0,0,0,0,0,91,
'60054190,"Unbleached or bleached warp knit fabrics of artificial fibres ""incl. those made on galloon ...",0,0,0,0,0,55,0,0,,
'60054200,"Dyed warp knit fabrics of artificial fibres ""incl. those made on galloon knitting machines"", ...",247,404,358,742,56,0,0,21,,
'60054300,"Warp knit fabrics of artificial fibres, of yarns of different colours ""incl. those made on ...",0,0,0,0,0,0,0,0,,
'60062400,"Printed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...",0,0,2,52,0,23,0,20,3,
'60063100,"Unbleached or bleached fabrics, knitted or crocheted, of synthetic fibres, of a width of > ...",0,0,0,0,56,0,1,29,,
'61021000,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",20,8,0,77,27,6,0,25,12,
'61031100,"Men's or boys' suits of wool or fine animal hair, knitted or crocheted (excluding track suits, ...",0,0,0,0,0,0,0,0,,
'61031200,"Men's or boys' suits of synthetic fibres, knitted or crocheted (excluding track suits, ski ...",0,0,0,0,0,0,0,5,,
'61031900,"Men's or boys' suits of textile materials, knitted or crocheted (excluding of wool or fine ...",0,0,0,0,0,0,5,23,,
'61032100,"Men's or boys' ensembles of wool or fine animal hair, knitted or crocheted (excl. ski ensembles ...",0,0,0,0,0,0,0,0,,
'61011000,"Overcoats, car-coats, capes, cloaks, anoraks, incl. ski-jackets, wind-cheaters, wind-jackets ...",0,0,0,0,0,0,4,1,,
'60064300,"Fabrics, knitted or crocheted, of artificial fibres, of yarns of different colours, of a width ...",0,0,0,0,0,0,4,0,,
'60064400,"Printed fabrics, knitted or crocheted, of artificial fibres, of a width of > 30 cm (excluding ...",0,0,1,1,0,29,0,49,,
'60064190,"Unbleached or bleached fabrics, knitted or crocheted, of artificial fibres, of a width of > ...",0,0,0,0,0,108,0,0,0,
'58109100,"Embroidery of cotton on a textile fabric ground, in the piece, in strips or in motifs (excl. ...",13,3,2,0,9,5,0,0,,
'58109200,"Embroidery of man-made fibres on a textile fabric base, in the piece, in strips or in motifs ...",8,1,2,6,2,213,13,310,44,
'58089010,"Ornamental trimmings of textile materials, in the piece, not embroidered, other than knitted ...",0,0,0,0,0,0,0,0,28,
'59011000,"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers ...",1,0,0,52,3,10,32,5,45,
'59100000,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, ...",105,153,122,105,189,184,266,181,,
'59049100,Floor coverings with a base consisting of a coating or covering applied on needleloom felt ...,0,0,0,0,0,0,0,0,,
'60024300,"Fabrics, knitted or crocheted, warp knit, of man-made fibres, of a width of > 30 cm (excluding ...",0,0,0,0,0,0,0,0,,
'60029200,"Fabrics, knitted or crocheted, of a width of > 30 cm, of cotton (excluding warp knit, and those ...",0,0,0,0,0,0,0,0,,
'60029300,"Fabrics, knitted or crocheted, of a width of > 30 cm, of man-made fibres (excl. warp knit, ...",0,0,0,0,0,0,0,0,,
'60029900,"Fabrics, knitted or crocheted, of a width of > 30 cm (excl. of artificial fibres, cotton, wool ...",0,0,0,0,0,0,0,0,,
'60012200,"Looped pile fabrics of man-made fibres, knitted or crocheted",109,98,97,456,99,45,0,1,80,
'60019100,"Pile fabrics of cotton, knitted or crocheted (excluding ""long pile"" fabrics)",29,0,0,58,0,87,939,341,302,
'60022000,"Knitted or crocheted fabrics, of a width of <= 30 cm (excluding those containing >= 5% by weight ...",0,0,0,0,0,0,0,0,,
'60049000,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...",0,0,16,2,21,182,126,145,237,
